,Name,RA,Dec,Type,Date,Dist,Catalog
178,IGR J18490-0000,18 48 56,-00 02 28,PWN,2008.07,7 kpc,Default Catalog
179,2HWC J1852+013*,18 52 02.4,+01 22 48,UNID,2017.02,,Default Catalog
180,HESS J1852-000,18 52 14,00 05 56,UNID,2011.08,,Default Catalog
181,HESS J1857+026,18 57 11,+02 40 00,UNID,2007.07,,Default Catalog
182,MAGIC J1857.2+0263,18 57 13.0,+02 37 31,PWN,2014.11,,Default Catalog
183,MAGIC J1857.6+0297,18 57 35.6,+02 58 02,UNID,2014.11,,Default Catalog
184,HESS J1858+020,18 58 20,+02 05 24,UNID,2007.07,,Default Catalog
185,2HWC J1902+048*,19 02 02.4,+04 51 36,UNID,2017.02,,Default Catalog
186,2HWC J1907+084*,19 07 09.6,+08 30 00,UNID,2017.02,,Default Catalog
187,MGRO J1908+06,19 07 54,+06 16 07,UNID,2007.08,,Default Catalog
188,SS 433 w1,19 10 37,+05 02 13,Binary,2018.1,5.5 kpc,Default Catalog
189,W 49B,19 11 07.3,+09 09 37.0,SNR/Molec. Cloud,2010.12,11.3 kpc,Default Catalog
190,HESS J1912+101,19 12 49,+10 09 06,Shell,2008.02,,Default Catalog
191,SS 433 e1,19 13 37,+04 55 48,Binary,2018.1,5.5 kpc,Default Catalog
192,2HWC J1914+117*,19 14 43.2,+11 43 12,UNID,2017.02,,Default Catalog
193,2HWC J1921+131,19 21 12,+13 07 48,UNID,2017.02,,Default Catalog
194,W 51,19 22 55.2,+14 11 27.6,SNR/Molec. Cloud,2008.1,5.4 kpc,Default Catalog
195,2HWC J1928+177,19 28 36,+17 46 48,UNID,2017.02,,Default Catalog
196,SNR G054.1+00.3,19 30 32,+18 52 12,PWN,2009.07,6.2 kpc,Default Catalog
197,2HWC J1938+238,19 38 58,+23 48 36,UNID,2017.02,,Default Catalog
198,HESS J1943+213,19 43 55,+21 18 08,HBL,2010.11,,Default Catalog
199,2HWC J1949+244,19 49 40.8,+24 27 36,UNID,2017.02,,Default Catalog
200,2HWC J1953+294,19 53 02.4,+29 28 48,PWN,2017.02,,Default Catalog
201,2HWC J1955+285,19 55 19.2,+28 35 24,UNID,2017.02,,Default Catalog
202,1ES 1959+650,19 59 59.8,+65 08 55,HBL,1999.08,z = 0.048,Default Catalog
203,MAGIC J2001+435,20 01 15.6,+43 52 44.4,IBL,2010.07,,Default Catalog
204,2HWC J2006+341,20 06 12,+34 10 48,UNID,2017.02,,Default Catalog
205,PKS 2005-489,20 09 27.0,-48 49 52,HBL,2005.06,z = 0.071,Default Catalog
206,VER J2016+371,20 16 02,+37 11 52,UNID,2011.08,,Default Catalog
207,MGRO J2019+37,20 18 35.03,+36 50 00.0,PWN,2007.03,,Default Catalog
208,VER J2019+368,20 19 25,+36 48 14,UNID,2014.04,,Default Catalog
209,MilagroDiffuse,20 20 00,+38 00 00,UNID,2005.12,,Default Catalog
210,VER J2019+407,20 20 04.8,+40 45 26,UNID,2009.11,,Default Catalog
211,MGRO J2031+41,20 28 43.2,+41 18 36,UNID,2007.08,,Default Catalog
212,ARGO J2031+4157,20 31 12,+42 30 00,Superbubble,2014.08,1.4 kpc,Default Catalog
213,TeV J2032+4130,20 31 33,+41 34 38,PWN,2002.1,1.8 kpc,Default Catalog
214,PSR J2032+4127,20 32 10,+41 27 34,Binary,2017.1,1.8 kpc,Default Catalog
215,1ES 2037+521,20 39 23.5,+52 19 50,HBL,2016.1,z = 0.053,Default Catalog
216,RGB J2056+496,20 56 42.7,+49 40 07,Blazar,2016.11,,Newly Announced
217,PKS 2155-304,21 58 52.7,-30 13 18,HBL,1999.06,z = 0.116,Default Catalog
218,BL Lacertae,22 02 43.3,+42 16 40,IBL,2001.04,z = 0.069,Default Catalog
219,SNR G106.3+02.7,22 27 59,+60 52 37,Shell,2009.07,0.8 kpc,Default Catalog
220,Boomerang,22 28 44,+61 10 00,PWN,2009.04,0.8 kpc,Default Catalog
221,RGB J2243+203,22 43 52,+20 19 12,HBL,2014.12,,Default Catalog
222,B3 2247+381,22 50 06.6,+38 25 58,HBL,2010.1,z = 0.1187,Default Catalog
223,Cassiopeia A,23 23 13.8,+58 48 26,Shell,2001.04,3.4 kpc,Default Catalog
224,1ES 2322-409,23 24 48.0,-40 39 36.0,HBL,2018.1,,Default Catalog
225,1ES 2344+514,23 47 04,+51 42 49,HBL,1998.07,z = 0.044,Default Catalog
226,H 2356-309,23 59 09.42,-30 37 22.7,HBL,2006.04,z = 0.165,Default Catalog
